vegetation,index,date,band,value
No Vegetation,7,2015-08-25,R,201
No Vegetation,7,2015-08-25,G,212
No Vegetation,7,2015-08-25,B,216
No Vegetation,7,2015-09-05,R,197
No Vegetation,7,2015-09-05,G,206
No Vegetation,7,2015-09-05,B,211
No Vegetation,7,2015-09-12,R,189
No Vegetation,7,2015-09-12,G,198
No Vegetation,7,2015-09-12,B,205
No Vegetation,7,2015-09-20,R,182
No Vegetation,7,2015-09-20,G,191
No Vegetation,7,2015-09-20,B,200
No Vegetation,7,2015-09-26,R,191
No Vegetation,7,2015-09-26,G,202
No Vegetation,7,2015-09-26,B,206
No Vegetation,7,2015-10-03,R,183
No Vegetation,7,2015-10-03,G,188
No Vegetation,7,2015-10-03,B,190
No Vegetation,7,2015-10-10,R,183
No Vegetation,7,2015-10-10,G,188
No Vegetation,7,2015-10-10,B,196
No Vegetation,8,2015-08-25,R,209
No Vegetation,8,2015-08-25,G,223
No Vegetation,8,2015-08-25,B,226
No Vegetation,8,2015-09-05,R,201
No Vegetation,8,2015-09-05,G,214
No Vegetation,8,2015-09-05,B,220
No Vegetation,8,2015-09-12,R,201
No Vegetation,8,2015-09-12,G,212
No Vegetation,8,2015-09-12,B,214
No Vegetation,8,2015-09-20,R,193
No Vegetation,8,2015-09-20,G,207
No Vegetation,8,2015-09-20,B,214
No Vegetation,8,2015-09-26,R,198
No Vegetation,8,2015-09-26,G,215
No Vegetation,8,2015-09-26,B,215
No Vegetation,8,2015-10-03,R,192
No Vegetation,8,2015-10-03,G,205
No Vegetation,8,2015-10-03,B,207
No Vegetation,8,2015-10-10,R,185
No Vegetation,8,2015-10-10,G,197
No Vegetation,8,2015-10-10,B,200
No Vegetation,9,2015-08-25,R,178
No Vegetation,9,2015-08-25,G,188
No Vegetation,9,2015-08-25,B,190
No Vegetation,9,2015-09-05,R,180
No Vegetation,9,2015-09-05,G,185
No Vegetation,9,2015-09-05,B,189
No Vegetation,9,2015-09-12,R,189
No Vegetation,9,2015-09-12,G,191
No Vegetation,9,2015-09-12,B,192
No Vegetation,9,2015-09-20,R,181
No Vegetation,9,2015-09-20,G,187
No Vegetation,9,2015-09-20,B,190
No Vegetation,9,2015-09-26,R,178
No Vegetation,9,2015-09-26,G,179
No Vegetation,9,2015-09-26,B,181
No Vegetation,9,2015-10-03,R,187
No Vegetation,9,2015-10-03,G,189
No Vegetation,9,2015-10-03,B,190
No Vegetation,9,2015-10-10,R,170
No Vegetation,9,2015-10-10,G,168
No Vegetation,9,2015-10-10,B,173
Rowans,0,2015-08-25,R,101
Rowans,0,2015-08-25,G,122
Rowans,0,2015-08-25,B,85
Rowans,0,2015-09-05,R,99
Rowans,0,2015-09-05,G,113
Rowans,0,2015-09-05,B,80
Rowans,0,2015-09-12,R,59
Rowans,0,2015-09-12,G,65
Rowans,0,2015-09-12,B,41
Rowans,0,2015-09-20,R,63
Rowans,0,2015-09-20,G,50
Rowans,0,2015-09-20,B,41
Rowans,0,2015-09-26,R,196
Rowans,0,2015-09-26,G,97
Rowans,0,2015-09-26,B,78
Rowans,0,2015-10-03,R,130
